the were
of she
to could
and after
in not
a had
for in
that years
on last
is that
was there
said people
with as
he us
as his
it one
by two
at year
from two
his into
an could
be a
has its
are also
have on
but None
were new
not at
this also
who this
they after
had for
i also
which have
will with
their over
or other
its on
one that
after the
new her
been also
also this
we you
would are
two three
more when
first he
about you
up out
when None
year there
there was
all and
out state
she than
other as
people about
n't first
her by
percent than
than in
over also
into a
last you
some his
government had
time are
you u.s.
years against
if government
no have
world into
can is
three over
do its
president has
only three
state None
million this
could from
us on
most and
against about
u.s. more
